chr1	0	chr1	0	66
chr1	1000000	chr1	1000000	205
chr1	0	chr1	2000000	1
chr1	1000000	chr1	2000000	3
chr1	2000000	chr1	2000000	272
chr1	0	chr1	3000000	3
chr1	1000000	chr1	3000000	1
chr1	2000000	chr1	3000000	7
chr1	3000000	chr1	3000000	204
chr1	3000000	chr1	4000000	3
chr1	4000000	chr1	4000000	251
chr1	3000000	chr1	5000000	1
chr1	4000000	chr1	5000000	12
chr1	5000000	chr1	5000000	228
chr1	2000000	chr1	6000000	1
chr1	3000000	chr1	6000000	1
chr1	4000000	chr1	6000000	4
chr1	5000000	chr1	6000000	3
chr1	6000000	chr1	6000000	241
chr1	2000000	chr1	7000000	1
chr1	3000000	chr1	7000000	1
chr1	4000000	chr1	7000000	5
chr1	5000000	chr1	7000000	1
chr1	6000000	chr1	7000000	6
chr1	7000000	chr1	7000000	241
chr1	4000000	chr1	8000000	1
chr1	5000000	chr1	8000000	1
chr1	6000000	chr1	8000000	2
chr1	7000000	chr1	8000000	4
chr1	8000000	chr1	8000000	237
chr1	3000000	chr1	9000000	5
chr1	4000000	chr1	9000000	2
chr1	6000000	chr1	9000000	1
chr1	7000000	chr1	9000000	3
chr1	8000000	chr1	9000000	7
chr1	9000000	chr1	9000000	269
chr1	4000000	chr1	10000000	2
chr1	5000000	chr1	10000000	1
chr1	9000000	chr1	10000000	3
chr1	10000000	chr1	10000000	238
chr1	0	chr1	11000000	1
chr1	8000000	chr1	11000000	1
chr1	9000000	chr1	11000000	3
chr1	10000000	chr1	11000000	1
chr1	11000000	chr1	11000000	245
chr1	5000000	chr1	12000000	2
chr1	6000000	chr1	12000000	3
chr1	7000000	chr1	12000000	1
chr1	8000000	chr1	12000000	6
chr1	11000000	chr1	12000000	4
chr1	12000000	chr1	12000000	191
chr1	12000000	chr1	13000000	1
chr1	13000000	chr1	13000000	62
chr1	2000000	chr1	14000000	8
chr1	5000000	chr1	14000000	1
chr1	8000000	chr1	14000000	1
chr1	12000000	chr1	14000000	2
chr1	13000000	chr1	14000000	4
chr1	14000000	chr1	14000000	283
chr1	2000000	chr1	15000000	2
chr1	8000000	chr1	15000000	1
chr1	11000000	chr1	15000000	1
chr1	12000000	chr1	15000000	2
chr1	13000000	chr1	15000000	1
chr1	14000000	chr1	15000000	9
chr1	15000000	chr1	15000000	264
chr1	2000000	chr1	16000000	2
chr1	11000000	chr1	16000000	1
chr1	12000000	chr1	16000000	1
chr1	15000000	chr1	16000000	3
chr1	16000000	chr1	16000000	264
chr1	4000000	chr1	17000000	1
chr1	5000000	chr1	17000000	1
chr1	6000000	chr1	17000000	2
chr1	15000000	chr1	17000000	1
chr1	16000000	chr1	17000000	9
chr1	17000000	chr1	17000000	247
chr1	4000000	chr1	18000000	11
chr1	5000000	chr1	18000000	2
chr1	8000000	chr1	18000000	2
chr1	12000000	chr1	18000000	5
chr1	14000000	chr1	18000000	3
chr1	15000000	chr1	18000000	4
chr1	16000000	chr1	18000000	6
chr1	17000000	chr1	18000000	7
chr1	18000000	chr1	18000000	256
chr1	3000000	chr1	19000000	1
chr1	4000000	chr1	19000000	1
chr1	5000000	chr1	19000000	2
chr1	17000000	chr1	19000000	1
chr1	18000000	chr1	19000000	4
chr1	19000000	chr1	19000000	264
chr1	4000000	chr1	20000000	4
chr1	5000000	chr1	20000000	4
chr1	12000000	chr1	20000000	3
chr1	17000000	chr1	20000000	1
chr1	18000000	chr1	20000000	1
chr1	19000000	chr1	20000000	4
chr1	20000000	chr1	20000000	260
chr1	3000000	chr1	21000000	2
chr1	16000000	chr1	21000000	1
chr1	19000000	chr1	21000000	3
chr1	20000000	chr1	21000000	2
chr1	21000000	chr1	21000000	240
chr1	18000000	chr1	22000000	1
chr1	19000000	chr1	22000000	1
chr1	20000000	chr1	22000000	3
chr1	21000000	chr1	22000000	6
chr1	22000000	chr1	22000000	267
chr1	18000000	chr1	23000000	1
chr1	19000000	chr1	23000000	2
chr1	21000000	chr1	23000000	5
chr1	22000000	chr1	23000000	5
chr1	23000000	chr1	23000000	267
chr1	18000000	chr1	24000000	2
chr1	19000000	chr1	24000000	1
chr1	23000000	chr1	24000000	6
chr1	24000000	chr1	24000000	231
chr1	18000000	chr1	25000000	1
chr1	19000000	chr1	25000000	3
chr1	24000000	chr1	25000000	5
chr1	25000000	chr1	25000000	208
chr1	24000000	chr1	26000000	2
chr1	25000000	chr1	26000000	5
chr1	26000000	chr1	26000000	258
chr1	24000000	chr1	27000000	2
chr1	25000000	chr1	27000000	1
chr1	26000000	chr1	27000000	5
chr1	27000000	chr1	27000000	241
chr1	2000000	chr1	28000000	1
chr1	18000000	chr1	28000000	1
chr1	19000000	chr1	28000000	1
chr1	24000000	chr1	28000000	2
chr1	26000000	chr1	28000000	1
chr1	27000000	chr1	28000000	1
chr1	28000000	chr1	28000000	241
